ID,论文简称,完整题名,内容概述,专题,分类,主题,期刊或会议,发表时间,日期口径,发表状态,主要痛点,数据集,方法,结论,评测设置,限制,原文URL,代码URL,代码状态,核验日期,核对范围
moleculeace-2022,MoleculeACE,Exposing the Limitations of Molecular Machine Learning with Activity Cliffs,专门检查结构很相似、活性却差很多的分子，揭示平均预测误差容易掩盖的模型弱点。,基础方法与基准,数据与基准,活性悬崖; 生物活性; 评测,Journal of Chemical Information and Modeling,2022-12-01,出版社在线发表日期,journal,整体平均误差不能充分反映模型处理活性悬崖的能力，而这些分子对先导优化很重要。,30 个大分子靶标的整理后生物活性数据集，比较 24 种机器学习策略；作者库提供数据和评测流程。,定义相似结构但活性差异大的分子对，同时报告整体 RMSE 与悬崖分子 RMSEcliff，比较描述符模型和图/序列神经网络。,在所测活性悬崖场景中，多种描述符机器学习方法优于更复杂深度模型；性能随靶标而变，支持单独报告悬崖指标。,结合整体 RMSE 与 RMSEcliff 分析性能，固定数据版本、代码和悬崖定义；2023 年正式勘误修正了早停描述。,研究重点是相似结构分子的生物活性差异。原论文结果与后续实现结果分别记录，便于追踪代码和数据更新带来的变化。,https://doi.org/10.1021/acs.jcim.2c01073,https://github.com/molML/MoleculeACE,作者代码/项目入口已公开,2026-09-22,书目、正文相关方法与结果及列出的官方资源
ames-multitask-2022,AMES 多任务 DNN,Multitask Deep Neural Networks for Ames Mutagenicity Prediction,保留五种菌株各自的 Ames 结果进行多任务学习，而非只学习一个总体致突变标签。,ADMET 与药代动力学,专题补读,AMES; 菌株级标签; 多任务学习,Journal of Chemical Information and Modeling,2022-09-06,出版社在线发表日期,journal,将不同菌株的实验结果压成单一标签，会丢失可用于预测致突变性的菌株差异信息。,"作者 Mendeley v2 数据：ISSSTY 整理的 5,536 个分子、1,360 个 Mordred 描述符；TA98、TA100、TA102、TA1535、TA1537 五种菌株标签及 Overall 标签，含未确定标签；提供 Train/Internal/External 分区。",共享核心网络联合学习 TA98、TA100、TA102、TA1535、TA1537 五个输出，再通过共识规则形成总体预测；比较总体标签单任务模型和菌株单任务模型的共识结果，并处理缺失标签。,正式摘要报告多任务模型优于总体标签单任务模型和菌株单任务集成，说明保留菌株级信息有助于致突变性预测。,"**实验设计。** 作者数据包含 Train/Internal/External 分区，训练代码采用五折验证。正式补充文件提供 MTL、Overall 和各菌株模型的交叉验证预测，以及三类模型的外部预测工作簿；例如 external-validation-MTL.xls 包含 5 个 Fold 工作表，每表 1,114 行化合物记录。

**参数与对照。** 正式 Supplementary Table S2 分列普通和加权损失设置：MTL 使用 5 个输出，总体标签单任务模型使用 1 个输出，学习率均为 0.0001；S3 给出各菌株独立模型的配置。S4 明确列出合并到各菌株标签中的 ±S9 及菌株变体。

**结果来源。** 正式摘要报告多任务模型优于总体标签单任务和菌株单任务共识；正式补充材料提供模型配置与预测文件。补充 Table S1 汇总国际 Ames/QSAR 挑战中其他工具的成绩，用于背景比较。",该研究把实验变体汇总为五个菌株标签；这与 AmesNet 显式输入菌株及 S9 条件的设计不同。补充材料还指出三对可能互为盐形式的重复化合物，复现时应检查它们的分区。,https://doi.org/10.1021/acs.jcim.2c00532,https://github.com/VirSabando/MTL_DNN_Ames,作者代码/项目入口已公开,2026-09-22,已核对正式摘要、补充 Tables S1–S4、预测文件结构、作者 data.py 与 compute_metrics.py；正文最终结果表仍缺全文核对
ssl-gcn-2021,SSL-GCN,Chemical toxicity prediction based on semi-supervised learning and graph convolutional neural network,让图神经网络同时学习有毒性标签和无标签的分子，利用半监督学习改善 Tox21 毒性预测。,ADMET 与药代动力学,专题补读,毒性; 半监督学习; Tox21,Journal of Cheminformatics,2021-11-27,出版社在线发表日期,journal,毒性实验标签有限，大量分子只有结构信息；仅用有标签样本训练图网络，难以充分利用这些分子。,"Tox21：7,831 个分子、12 个毒性端点；另从 ClinTox、SIDER、ToxCast 和 HIV 收集分子，移除标签并去除与 Tox21 重复的结构，得到 50,527 个无标签分子。",以 GCN 编码分子图，采用 Mean Teacher 框架：学生模型学习毒性标签，教师参数由学生参数的指数移动平均更新，并用扰动前后的预测一致性利用无标签数据。,论文报告最佳平均 ROC-AUC 为 0.757，优于所比较传统机器学习模型约 0.71 的水平。无标签数据能够改善预测，但最佳加入比例随毒性端点变化。,Tox21 按分子骨架划分为训练/验证/测试集，比例为 80%/10%/10%，重复运行 5 次。比较监督式 SL-GCN、基于 ECFP4 的 KNN、神经网络、随机森林、SVM、XGBoost，以及 DeepChem 模型；测试无标签/有标签样本比例 0.5、1、2、3、4。,12 个端点的标签完整性和类别比例不同。阅读结果时应同时看各端点 AUROC 与无标签比例实验；增加无标签样本并非在所有端点上都持续提高成绩。,https://link.springer.com/article/10.1186/s13321-021-00570-8,https://github.com/chen709847237/SSL-GCN,作者提供训练与预测脚本，README 链接数据和模型压缩包,2026-09-22,已核对出版社全文中的数据、骨架划分、Mean Teacher 方法和结果，以及作者仓库 README。
cardiotox-net-2021,CardioTox net,CardioTox net: a robust predictor for hERG channel blockade based on deep learning meta-feature ensembles,融合不同分子表示的神经网络预测，改善 hERG 阻断剂识别，并在三个外部测试集上检验效果。,ADMET 与药代动力学,专题补读,hERG; 集成; 外部验证,Journal of Cheminformatics,2021-08-16,出版社在线发表日期,journal,单一分子表示可能遗漏信息，多模型直接合并又难兼顾灵敏度、特异度和预测精度。,"BindingDB、ChEMBL 和文献数据整理为 12,620 个训练分子（6,643 阻断剂、5,977 非阻断剂）；三个外部集分别为 44、41、839 个分子，采用 IC50 10 μM 分类判据。",五个基神经网络处理不同化学特征，再用独立神经网络组合其预测；训练数据按 70/10/10/10 分别用于基模型训练/验证和元模型训练/验证。,三个外部集报告 MCC 0.599/0.452/0.220，准确率 0.810/0.755/0.746；相对所选旧方法改善多项指标，但第三个不平衡外部集 PPV 仅 0.113。,Data preparation 说明训练与三个外部集的构建，并分析它们的化学相似性。,两个外部集较小，第三个集阳性比例低；其 PPV 0.113 反映了不平衡筛选中的误报问题，可与召回率一起分析。,https://doi.org/10.1186/s13321-021-00541-z,https://github.com/Abdulk084/CardioTox,作者代码/项目入口已公开,2026-09-22,书目、正文相关方法与结果及列出的官方资源
tox21-conformal-2021,毒性深度共形预测,Deep Learning-Based Conformal Prediction of Toxicity,给毒性模型加入共形预测，让用户按置信水平得到单一类别或多个候选类别，并评估漏检与不确定性。,ADMET 与药代动力学,专题补读,毒性; 不确定性; 共形预测,Journal of Chemical Information and Modeling,2021-05-27,出版社在线发表日期,journal,单个毒性类别或概率难以直接说明预测可靠性，类别不均衡又容易导致模型漏检少数有毒分子。,Tox21 挑战数据的 12 个核受体与应激反应端点；每个端点按活性/非活性单独建模，样本数见原文表 1。,结合 DNN、GCN、GAT、其他图网络、随机森林和 LightGBM，使用独立校准集构建 Mondrian 共形预测器；比较有效性、单标签预测比例、平衡准确率与 MCC。,GCN 共形预测在 90% 置信水平下，对有毒类别的单标签预测比例超过 80%。多种基础模型的有毒分子召回增加，同时假阳性也增加。,10 折分层交叉验证；每折训练部分先留出 10% 验证集，再从剩余部分划出 20% 校准集。比较不同显著性水平下的有效性和效率，并单独报告阳性与阴性类别。,覆盖保证依赖数据可交换性；单标签预测比例与正确率是不同指标。外推到新化学空间时，应另外检查校准后的实际覆盖率。,https://doi.org/10.1021/acs.jcim.1c00208,https://github.com/FredrikSvenssonUK/tox21_conformal,作者公开建模 Python 代码，论文给出 Tox21 数据入口,2026-09-22,已核对作者接受稿的数据、方法、实验与结论，以及出版社和 Crossref 日期；核对作者代码入口。
molmapnet-2021,MolMapNet,Out-of-the-box deep learning prediction of pharmaceutical properties by broadly learned knowledge-based molecular representations,把分子描述符和指纹排成二维特征图，再用卷积网络预测理化、药代和毒性相关性质。,基础方法与基准,基础方法,描述符; 分子指纹; 卷积网络; 基线,Nature Machine Intelligence,2021-03-01,出版社在线发表日期,journal,人工积累的描述符与指纹包含丰富化学信息，但普通向量输入难以利用特征间关系；逐任务调参也增加建模成本。,"26 个药物研究相关基准及一个新测试集。特征关系来自 8,506,205 个分子；ADMET 相关数据包括 CYP450（16,896 个化合物，5 种酶）、人/鼠/大鼠肝微粒体清除率（共 8,755 个化合物）、BBBP、ESOL、Tox21、SIDER 和 ClinTox。规模见补充表 S9。","MolMap 将 1,456 个描述符和 16,204 个指纹特征按相似关系嵌入二维网格。MolMapNet 用 CNN 学习特征图，提供描述符单路 D、指纹单路 F 和双路 B 模型，并比较默认参数与调参版本。",描述符与指纹的特征图能形成有效的性质预测模型。补充表 S5 中，双路模型在一组 ESOL 划分上的 RMSE 由默认 0.575 降至调参后 0.544；另一组划分上为 0.543→0.512，而 AttentiveFP 为 0.486。模型优劣与实验设置有关。,"**划分。** 补充表 S9 分别记录：CYP450 按 assay ID 划分，LMC 随机划分，BBBP 骨架划分，ESOL/Tox21/SIDER/ClinTox 随机划分。

| ESOL 实验组（补充表 S5） | MolMapNet-B 默认 | 调参后 | 对照 RMSE |
| --- | --- | --- | --- |
| MoleculeNet/Chemprop 设置 | 0.575 | 0.544 | Chemprop 0.555 |
| AttentiveFP 设置 | 0.543 | 0.512 | AttentiveFP 0.486 |

**后续 TDC 提交。** MolMapNet-D 在 Caco2_Wang 上的 MAE 为 0.287 ± 0.005，来自 TDC 榜单；对应描述符单路实现，与上表双路模型分开记录。",本仓库将其作为知识描述符与深度学习结合的基础方法。预先学习特征布局的数据规模与下游监督数据规模分别记录，避免把它们当作同一训练集。,https://www.nature.com/articles/s42256-021-00301-6,https://github.com/shenwanxiang/bidd-molmap,作者公开 MolMap/MolMapNet 代码、训练示例；ChemBench v0 提供数据与划分索引,2026-09-22,核对 Crossref、出版社摘要、正式补充表 S5/S9、作者代码和 TDC 提交记录；表 S5 已查看 PDF 原页
tdc-2021,TDC,Therapeutics Data Commons: Machine Learning Datasets and Tasks for Drug Discovery and Development,把药物发现中的多类数据和任务整理成统一接口与基准，让不同预测方法能够按共同规则比较。,ADMET 与药代动力学,数据与基准,数据基准; 评价协议,NeurIPS Datasets and Benchmarks,2021,正式会议年份；未在此补造月日,conference,药物研究数据分散，任务接口、划分与评价缺乏统一，难以公平比较。,跨药物发现和开发任务的数据集合；本文聚焦其中 ADMET Benchmark Group 的 22 任务。会议论文整体覆盖范围大于 ADMET。,建立任务定义、数据接口、标准化基准和公开榜单。,提供数据加载、任务划分与评测工具，支持在统一设置下比较药物发现模型。,ADMET Benchmark Group 使用任务专属指标和骨架划分，并提供多随机种子评测流程。,22 任务中的毒性部分包括 hERG、AMES、DILI 和 LD50。TDC 还提供其他药物发现数据，使用时按具体 benchmark group 选择任务。,https://datasets-benchmarks-proceedings.neurips.cc/paper/2021/hash/3948ead63a9f2944218de038d8930b8f-Abstract-round2.html,,代码链接待补充,2026-09-19,书目、正文关键部分及相关官方资源
tox21-library-2020,Tox21 10K 化合物库,The Tox21 10K Compound Library: Collaborative Chemistry Advancing Toxicology,解释 Tox21 化合物库如何整合多机构样品、开展高通量实验并形成可追溯的毒性数据。,ADMET 与药代动力学,数据与基准,毒性; 数据资源,Chemical Research in Toxicology,2020-11-03,出版社在线发表日期,journal,来自不同机构的化合物库覆盖范围不同，合并后需要统一结构注释、识别重复样品并评估实验重现性。,"Tox21 10K 库约 10,000 个化学样品；截至论文描述阶段，约 8,500 种化学物质经过 70 多项高通量测定，产生超过一亿个数据点。",整合合作机构的化合物库，以多浓度定量高通量筛选、重复样品和分析化学质控组织数据；用 ToxPrint 化学类型及富集分析比较化学空间和活性模式。,不同机构的化学库形成互补覆盖，合并后能发现单独样本库中不易识别的结构–活性模式，为理解和使用 Tox21 提供数据背景。,分析化合物库构成、样品重复、质控流程、理化性质与化学类型富集；研究对象是数据资源及其覆盖范围。,Tox21 10K 原始库、2014 挑战集与 MoleculeNet 的 12 端点子集属于不同数据版本，建模时需记录具体版本与样本筛选。,https://doi.org/10.1021/acs.chemrestox.0c00264,,数据资源论文；样品信息与测定数据由合作机构公开发布,2026-09-22,已核对出版社摘要与方法介绍、Crossref 在线/卷期日期，以及官方数据下载入口。
chemprop-dmpnn-2019,Chemprop / D-MPNN,Analyzing Learned Molecular Representations for Property Prediction,通过沿有向化学键传递信息来学习分子表示，并在公开和工业数据上检验性质预测。,基础方法与基准,基础方法,分子图; D-MPNN; 工业数据,Journal of Chemical Information and Modeling,2019-07-30,出版社在线发表日期,journal,学习得到的分子表示是否优于手工描述符，尤其能否推广到工业数据和新化学空间，缺少充分比较。,19 个公开与 16 个工业私有数据集，覆盖多类化学端点。,有向键消息传递网络 D-MPNN，结合分子级计算特征及超参数优化；与固定描述符方法及已有图网络比较。,在论文所测公开/工业任务中达到或超过多种对照，显示学习表示的实际价值；仍未达到实验重复性水平，结果取决于任务与划分。,比较随机、骨架和可用的时间划分，分析新化学空间及工业数据上的泛化表现。,2019 年论文奠定了 Chemprop 的方法基础；项目后续持续更新，复现实验时应固定软件版本、分子特征和数据划分。,https://doi.org/10.1021/acs.jcim.9b00237,https://github.com/chemprop/chemprop,作者代码/项目入口已公开,2026-09-22,书目、正文相关方法与结果及列出的官方资源
attentivefp-2019,AttentiveFP,Pushing the Boundaries of Molecular Representation for Drug Discovery with the Graph Attention Mechanism,让图神经网络在汇总分子信息时学习关注哪些原子和邻域，用于性质预测与结构归因。,基础方法与基准,基础方法,分子图; 注意力; 分子表示,Journal of Medicinal Chemistry,2019,在线年份；精确在线日存在来源字段冲突，卷期日期另列,journal,分子表示需要捕捉局部及较远结构联系，同时让模型关注的化学特征更容易检查。,"正式 Supplementary Table 1/6 包括 BBBP 2,053、Tox21 8,014（12 任务）、ToxCast 8,615（617 任务）、SIDER 1,427（27 任务）、ClinTox 1,491（2 任务）、ESOL 1,128、FreeSolv 643、Lipophilicity 4,200 个分子，另有活性及 QM9 任务。",在分子图消息聚合和图级读出中使用注意力，构建可学习的分子指纹，并通过注意力可视化分析结构信息。,正式补充表报告 BBBP AUROC 0.920±0.015、Tox21 AUROC 0.858±0.014、ESOL RMSE 0.503±0.076。原子及分子读出注意力提供了可视化的结构归因方式。,"**实验设置。** 作者 BBBP、Tox21 和 ESOL 示例 notebook 先随机抽取 10% 测试数据，再从剩余数据抽取 1/9 作为验证集，形成约 8:1:1 的随机划分。正式 Supplementary Table 6 分别列训练、验证和测试成绩；以下摘录 Test 列。

| 数据集 | 分子数 | 指标 | Test |
| --- | --- | --- | --- |
| BBBP | 2,053 | AUROC ↑ | 0.920±0.015 |
| Tox21 | 8,014 | AUROC ↑ | 0.858±0.014 |
| SIDER | 1,427 | AUROC ↑ | 0.637±0.017 |
| ClinTox | 1,491 | AUROC ↑ | 0.940±0.018 |
| ESOL | 1,128 | RMSE ↓ | 0.503±0.076 |
| FreeSolv | 643 | RMSE ↓ | 0.736±0.037 |

这些是作者原始实验数据版本上的成绩。TDC 后续重新整理的数据和骨架划分实验另见方法对比页；两者不合并排名。",注意力可视化描述模型关注的结构，并不直接证明化学因果机制。ACS 页首/Crossref 和出版历史的在线日字段分别为 2019-08-13 与 2019-08-27，因此索引保留已确认的在线年份。,https://doi.org/10.1021/acs.jmedchem.9b00959,https://github.com/OpenDrugAI/AttentiveFP,作者代码与配套数据可访问；原 Code Ocean 环境需按复现说明重建,2026-09-22,已核对正式补充 Tables 1、6、作者 BBBP/Tox21/ESOL 划分代码及日期字段差异
moleculenet-2018,MoleculeNet,MoleculeNet: a benchmark for molecular machine learning,把分散的分子数据集、划分、指标与算法组织成基准，让性质预测方法有共同的比较起点。,基础方法与基准,数据与基准,数据集; 基准; 评测,Chemical Science,2017-10-31,出版社在线发表日期,journal,不同研究自选数据、指标与实现，难以判断算法改进来自模型还是评测设置。,整合量子化学、理化、生物物理及生理相关公开数据；包括 ESOL、FreeSolv、Lipophilicity、BBBP、Tox21、ClinTox、SIDER、BACE、HIV、QM 系列等，按任务设置评价指标和划分。,以 DeepChem 提供数据加载、分子特征化和学习算法实现，系统比较固定描述符与学习表示。,学习表示在多类任务上有效，但小样本和类别不均衡仍困难；量子/生物物理任务中，符合物理背景的特征可能比算法选择更关键。,各子集按任务设置指标和划分；开展比较时记录具体子集、数据版本、清洗步骤与 split。,数据涵盖 ADMET、活性、理化及量子化学任务；DeepChem 随版本更新数据加载流程。发表时间采用出版社的 2017-10-31 在线日期，并列 2018 年卷期。,https://doi.org/10.1039/C7SC02664A,https://github.com/deepchem/deepchem,作者代码/项目入口已公开,2026-09-22,出版社书目、摘要/基准描述与 DeepChem 官方入口；未运行各子集
