ID,Short name,Full title,Overview,Topic,Category,Tags,Journal/conference,Publication date,Date basis,Publication status,Research problem,Datasets,Method,Findings,Experimental setup,Analysis,Paper URL,Code URL,Code status,Review date,Review scope
uni-qsar-2023,Uni-QSAR,Uni-QSAR: an Auto-ML Tool for Molecular Property Prediction,"Automatically combines fingerprints, descriptors and pretrained 1D, 2D and 3D molecular representations with tuning and stacked ensembles for ADMET prediction.",ADMET and pharmacokinetics,Preprints,AutoML; Multimodal representations; Ensembles,arXiv,2023-04-24,arXiv version 1 submission date,preprint,"Different properties favor different molecular features, making manual representation, model and hyperparameter selection costly; skewed regression labels and class imbalance add further modeling challenges.",The 22 TDC ADMET Benchmark Group tasks: nine regression and 13 classification tasks. A separate CNS penetration case uses 940 training compounds (315 positive and 625 negative) and 117 external test compounds.,"Combines fingerprints and descriptors with 1D representations such as K-BERT, 2D representations including GROVER, MolCLR and KPGT, and Uni-Mol 3D representations. Target transformations, imbalance-aware learning, Bayesian optimization and two-level stacking are orchestrated with dflow.","Tables 1–2 report Caco-2 MAE of 0.273 and BBBP AUROC of 0.925. Counting the printed TDC ranking rows gives 17 first-place results across 22 tasks. The CNS case reports AUROC of 0.980; ablations support the contributions of 3D representations, stacking and target transformations.","TDC experiments follow the benchmark report cited in the paper and compare with Chemprop, DeepAutoQSAR and DeepPurpose; some baseline scores come from prior reports or leaderboards. Per-task splits and seeds are not detailed. Table 1 shows first place for 8/9 regression tasks and Table 2 for 9/13 classification tasks, as recorded in the paper.","The abstract claims SOTA on 21/22 tasks, whereas the TDC ranking rows in Tables 1–2 contain 17/22 first-place entries. These notes use the task metrics and rank counts in the tables; the paper does not reconcile the two counts.",https://arxiv.org/abs/2304.12239,https://github.com/deepmodeling/unimol_tools,"The related public component, Uni-Mol Tools, provides Uni-Mol representations and property prediction, rather than the complete multi-representation stacking pipeline described in the paper.",2026-09-22,"Reviewed arXiv v1, Tables 1–2, the CNS case and ablations, and checked the Uni-Mol Tools README for its paper citation and documented features."
atom-uncertainty-2023,Atom-based uncertainty,Explainable uncertainty quantifications for deep learning-based molecular property prediction,"Attributes uncertainty to atoms to locate unfamiliar structures and potential noise, then calibrates ensemble confidence estimates.",Methods and benchmarks,Foundational methods,Uncertainty; Calibration; Explainability; D-MPNN,Journal of Cheminformatics,2023-02-03,Publisher online publication date,journal,Molecular uncertainty does not locate problematic structures; averaging network variances can overestimate ensemble uncertainty.,"QM9 enthalpy (133,885), Zinc15 calculated logP (250,000), Lipophilicity experimental logD7.4 (4,187), and Delaney/ESOL solubility (1,128), using the processed versions in Table 1.","A D-MPNN predicts atomic contributions and variances, aggregates them with covariance terms, and separates aleatoric and epistemic uncertainty through ensembles. Post-hoc calibration updates only variance layers.",Atomic uncertainty highlights unfamiliar structures. Calibration improves several tasks: ESOL aleatoric ECE falls from 0.2118 to 0.0622. Gains vary across datasets.,"**Design.** Random 8:1:1 splits compare AtomUnc with molecule-based MolUnc. MAE/RMSE measure prediction error; ECE/ENCE measure calibration error. All decrease with improvement.

| AtomUnc task | ECE before → after calibration | ENCE before → after calibration |
| --- | --- | --- |
| ESOL | 0.2118 → 0.0622 | 0.6414 → 0.5578 |
| Lipophilicity | 0.0413 → 0.0396 | 0.3683 → 0.3704 |

Table 2 reports these aleatoric uncertainties. Table 3 RMSE: AtomUnc/MolUnc = 0.5952/0.8418 for Lipophilicity and 0.6715/0.7520 for ESOL. Variance-only calibration leaves mean predictions unchanged.","This study supports confidence analysis for property regression. Zinc15 logP labels are calculated. Results use random splits; Lipophilicity ENCE increases slightly after calibration, showing endpoint-dependent gains.",https://link.springer.com/article/10.1186/s13321-023-00682-3,https://github.com/chuiyang/atom-based_uncertainty_model,"Author scripts cover training, prediction, atomic visualization and calibration; the implementation supports regression.",2026-09-22,"Checked Crossref, PubMed 36737786, Methods, Tables 1–3 and the author repository"
domain-aware-pbrics-2023,Domain-aware / pBRICS,Domain-aware representation of small molecules for explainable property prediction models,Builds chemically meaningful molecular fragments so graph models can predict ADMET properties and identify fragments contributing to each prediction.,ADMET and pharmacokinetics,Further reading,Fragment representations; Interpretability; Multitask learning,ICLR 2023 MLDD Workshop,2023,Year stated in the official workshop acceptance listing,conference,"Atom-level importance is difficult to translate into functional groups and medicinal-chemistry changes, while generic fragmentation can break chemically meaningful substructures.","23 classification endpoints curated from ADMETlab 2.0 data, covering Ames mutagenicity, carcinogenicity, CYPs, eye and respiratory toxicity, BBBP and Tox21. ChEMBL molecules support fragmentation analysis; interpretation cases include 102 BBBP matched molecular pairs comprising 110 unique molecules.",pBRICS post-processes BRICS fragments using functional-group rules to organize scaffolds and substituents. MACCS and ECFP2 fragment fingerprints feed single-task and multitask GCN/RGCN models; Grad-CAM and matched molecular pairs examine fragment contributions.,"In Table 2, multitask fragment RGCN achieves mean AUROC of 84.47% across 23 endpoints, versus 83.35% for the comparator trained with ADMETlab 2.0 code, a gain of 1.12 percentage points. Fragment analyses connect functional-group changes with BBBP and Ames predictions.","The train/validation/test ratio is 80%/10%/10%; the text does not specify random versus scaffold splitting. Table 2 compares MT-FraGCN, MT-FraRGCN, ST-FraGCN and the ADMETlab 2.0 comparator. Sections 3.3–3.4 examine BBBP and Ames matched molecular pairs.","Matched-pair analysis shows that scaffold correlations can dominate predictions: plausible local fragment attribution can coexist with an incorrect class prediction. The same team’s related pBRICS journal study (10.1021/acs.jcim.3c00689) covers 40 properties; the 23-task, 84.47% result here belongs to the workshop paper.",https://openreview.net/forum?id=C9WW17wQF7p,,The paper and workshop listing do not provide an accompanying code link.,2026-09-22,"Reviewed the official acceptance listing and its linked 13-page PDF, including fragment representations, splitting, Table 2 and matched-pair analyses; also checked the related journal study’s metadata and task count."
moleculeace-2022,MoleculeACE,Exposing the Limitations of Molecular Machine Learning with Activity Cliffs,Evaluates structurally similar molecules with large activity differences to expose model weaknesses hidden by average prediction errors.,Methods and benchmarks,Data and benchmarks,Activity cliffs; Bioactivity; Evaluation,Journal of Chemical Information and Modeling,2022-12-01,Publisher online publication date,journal,"Overall error does not adequately capture activity-cliff performance, which matters for lead optimization.","Curated bioactivity datasets for 30 macromolecular targets, comparing 24 machine-learning strategies. The authors provide data and evaluation workflows.","Defines structurally similar pairs with large activity differences and reports overall RMSE alongside cliff-molecule RMSEcliff, comparing descriptor models with graph/sequence neural networks.","Several descriptor-based methods outperform more complex deep models in the tested activity-cliff settings. Performance varies by target, supporting separate cliff metrics.",Analyzes overall RMSE and RMSEcliff with fixed data/code versions and cliff definitions. A 2023 correction revises the early-stopping description.,The focus is bioactivity differences among similar structures. Original-paper and later implementation results are recorded separately to track changes in data and code.,https://doi.org/10.1021/acs.jcim.2c01073,https://github.com/molML/MoleculeACE,The authors provide a public code/project page.,2026-09-22,"Bibliographic metadata, relevant methods and results, and the listed official resources."
ames-multitask-2022,AMES multitask DNN,Multitask Deep Neural Networks for Ames Mutagenicity Prediction,"Learns Ames outcomes for five bacterial strains jointly, retaining strain-specific information alongside the overall mutagenicity label.",ADMET and pharmacokinetics,Further reading,AMES; Strain-level labels; Multitask learning,Journal of Chemical Information and Modeling,2022-09-06,Publisher online publication date,journal,Collapsing results across strains into one label discards strain-level information useful for mutagenicity prediction.,"Authors' Mendeley v2 data: 5,536 ISSSTY-curated molecules with 1,360 Mordred descriptors, labels for TA98, TA100, TA102, TA1535 and TA1537 plus Overall, including undetermined labels. Train/Internal/External partitions are provided.","A shared network jointly predicts TA98, TA100, TA102, TA1535 and TA1537, then combines outputs by a consensus rule. Comparators predict the overall label directly or combine separately trained strain models; missing labels are handled explicitly.","The published abstract reports improvements over overall-label single-task models and ensembles of strain-specific models, supporting the use of strain-level information.","**Design.** Author data provide Train/Internal/External partitions, and training code uses fivefold validation. Published supplements include cross-validation predictions and external-prediction workbooks for MTL, Overall and separate-strain models. For example, external-validation-MTL.xls contains five Fold sheets with 1,114 compound rows each.

**Configuration.** Supplementary Table S2 distinguishes ordinary and weighted losses: MTL has five outputs and the overall-label model one, both using learning rate 0.0001. S3 lists separate-strain configurations. S4 specifies the strain variants and ±S9 conditions aggregated into each label.

**Results provenance.** The published abstract reports improvements over overall-label and separate-strain consensus models; the published supplements provide configurations and prediction files. Supplementary Table S1 summarizes other tools in the international Ames/QSAR challenge as background context.","Experimental variants are aggregated into five strain labels, unlike AmesNet’s explicit strain/S9 conditioning. The supplement identifies three possible salt-form duplicate pairs whose partition assignments deserve inspection during reproduction.",https://doi.org/10.1021/acs.jcim.2c00532,https://github.com/VirSabando/MTL_DNN_Ames,The authors provide a public code/project page.,2026-09-22,"Checked published abstract, Supplementary Tables S1–S4, prediction-file structure, and author data.py/compute_metrics.py; final main-text result tables still require full-text verification"
cyp2c9-ml-validation-2022,CYP2C9 prediction and validation,Machine learning-driven identification of drugs inhibiting cytochrome P450 2C9,"Combines molecular descriptors and CYP2C9 ensemble docking to screen inhibitors, then tests selected drugs experimentally.",ADMET and pharmacokinetics,Further reading,CYP2C9; Structural information; Ensemble docking; Experimental validation,PLOS Computational Biology,2022-01-26,Publisher online publication date.,journal,CYP2C9 inhibition depends on ligand properties and protein flexibility; computational hits need experimental testing.,"Filtered and clustered PubChem/ChEMBL data: 8,141 compounds, comprising 4,840 inhibitors and 3,301 non-inhibitors, with a stratified random 80/20 holdout. Another 4,480 drugs were screened and 18 selected for experiments.","RF/SVM models combine 36 MOE descriptors with docking energies for seven protein conformations. Consensus, energy thresholds and diversity selection prioritize HepG2 and CYP2C9 supersome assays.","RF balanced accuracy is 84.33% and sensitivity 89.97% in Table 3. Testing 18 candidates identifies four stronger inhibitors, including vatalanib with IC50 0.067 μM.","**Design.** The paper’s “external” model test set is a stratified random holdout from the same collection; new-candidate experiments are a separate validation stage.

| Model (Table 3) | Balanced accuracy ↑ | Sensitivity ↑ | Specificity ↑ |
| --- | --- | --- | --- |
| RF, 36 MOE + 7 IE | 84.33% | 89.97% | 78.69% |
| SVM, 36 MOE + 7 IE | 83.35% | 89.87% | 76.83% |

The text defines Table 3’s Accuracy column as balanced accuracy. Table 5 supersome IC50 values: vatalanib 0.067, piriqualone 10.9, ticagrelor 11.8 and cloperidone 17.7 μM.",Enzyme inhibition and in vivo drug interactions are distinct outcomes. Assays establish inhibition under the tested conditions; modeling requires MOE descriptors and docking.,https://journals.plos.org/ploscompbiol/article?id=10.1371/journal.pcbi.1009820,,Data and experimental details are provided in the article and supplements; no standalone code repository is listed.,2026-09-22,"Checked full-text data filtering, 80/20 splitting, features, Tables 3/5, candidate selection and assays."
ssl-gcn-2021,SSL-GCN,Chemical toxicity prediction based on semi-supervised learning and graph convolutional neural network,Trains a graph neural network on labeled and unlabeled molecules to improve Tox21 toxicity prediction through semi-supervised learning.,ADMET and pharmacokinetics,Further reading,Toxicity; Semi-supervised learning; Tox21,Journal of Cheminformatics,2021-11-27,Publisher online publication date,journal,"Toxicity labels are limited, while many compounds have only structural information; supervised graph models cannot fully use these unlabeled molecules.","Tox21: 7,831 molecules and 12 toxicity endpoints. Removing labels from ClinTox, SIDER, ToxCast and HIV and excluding structures overlapping with Tox21 yields 50,527 unlabeled molecules.","A GCN encodes molecular graphs within a Mean Teacher framework. The student learns toxicity labels, teacher parameters follow an exponential moving average of student parameters, and prediction consistency under perturbations incorporates unlabeled data.","The paper reports a best mean ROC-AUC of 0.757, compared with about 0.71 for the conventional machine-learning models evaluated. Unlabeled data improve prediction, with the best mixing ratio varying by endpoint.","Tox21 uses an 80%/10%/10% scaffold split and five repeated runs. Comparisons include supervised SL-GCN, ECFP4-based KNN, neural networks, random forests, SVM and XGBoost, and DeepChem models. Tested unlabeled-to-labeled ratios are 0.5, 1, 2, 3 and 4.",Label completeness and class balance vary across the 12 endpoints. Endpoint AUROC and mixing-ratio experiments show that adding more unlabeled molecules does not consistently improve every task.,https://link.springer.com/article/10.1186/s13321-021-00570-8,https://github.com/chen709847237/SSL-GCN,"The author repository provides training and prediction scripts, with README links to data and model archives.",2026-09-22,"Reviewed the publisher full text for data, scaffold splitting, Mean Teacher and results, and checked the author repository README."
cardiotox-net-2021,CardioTox net,CardioTox net: a robust predictor for hERG channel blockade based on deep learning meta-feature ensembles,Combines neural-network predictions from different molecular representations to identify hERG blockers and tests them on three external datasets.,ADMET and pharmacokinetics,Further reading,hERG; Ensembles; External validation,Journal of Cheminformatics,2021-08-16,Publisher online publication date,journal,"Single representations can omit relevant information, while simple model combinations struggle to balance sensitivity, specificity and predictive accuracy.","12,620 training molecules from BindingDB, ChEMBL and literature: 6,643 blockers and 5,977 non-blockers. Three external sets contain 44, 41 and 839 molecules, using an IC50 threshold of 10 μM.",Five base neural networks process different chemical features; a separate neural network combines their predictions. A 70/10/10/10 allocation supports base-model training/validation and meta-model training/validation.,"External MCC values are 0.599/0.452/0.220 and accuracies 0.810/0.755/0.746. Several metrics improve over selected earlier methods, but PPV on the third, imbalanced set is only 0.113.",The Data preparation section describes the training and three external datasets and analyzes their chemical similarity.,Two external sets are small; the third has a low positive fraction. Its PPV of 0.113 highlights false positives under imbalance and should be read alongside recall.,https://doi.org/10.1186/s13321-021-00541-z,https://github.com/Abdulk084/CardioTox,The authors provide a public code/project page.,2026-09-22,"Bibliographic metadata, relevant methods and results, and the listed official resources."
tox21-conformal-2021,Deep conformal toxicity prediction,Deep Learning-Based Conformal Prediction of Toxicity,"Adds conformal prediction to toxicity models, returning one or multiple candidate labels at a chosen confidence level and assessing uncertainty and missed toxic compounds.",ADMET and pharmacokinetics,Further reading,Toxicity; Uncertainty; Conformal prediction,Journal of Chemical Information and Modeling,2021-05-27,Publisher online publication date,journal,"A class label or score does not directly quantify prediction reliability, while class imbalance can cause toxic minority compounds to be missed.","Twelve nuclear-receptor and stress-response endpoints from the Tox21 challenge, modeled as separate active/inactive tasks; endpoint sample counts appear in Table 1.","Combines DNNs, GCN, GAT, other graph models, random forests and LightGBM with Mondrian conformal prediction using a held-out calibration set. Evaluates validity, single-label efficiency, balanced accuracy and MCC.","GCN-based conformal prediction achieves over 80% single-label efficiency for the toxic class at 90% confidence. Several underlying models retrieve more toxic compounds, with an accompanying increase in false positives.",Ten-fold stratified cross-validation; each fold reserves 10% of training data for validation and 20% of the remainder for calibration. Validity and efficiency are evaluated across significance levels and separately by class.,Coverage guarantees require exchangeability. Single-label efficiency is distinct from accuracy; application to new chemical spaces requires checking empirical calibrated coverage.,https://doi.org/10.1021/acs.jcim.1c00208,https://github.com/FredrikSvenssonUK/tox21_conformal,The authors publish Python modeling code and identify the Tox21 data portal.,2026-09-22,"Reviewed the accepted manuscript’s data, methods, results and conclusions; checked publisher/Crossref dates and the author code entry."
molmapnet-2021,MolMapNet,Out-of-the-box deep learning prediction of pharmaceutical properties by broadly learned knowledge-based molecular representations,"Arranges descriptors and fingerprints into 2D feature maps and trains CNNs to predict physicochemical, pharmacokinetic and toxicity-related properties.",Methods and benchmarks,Foundational methods,Descriptors; Fingerprints; CNN; Baselines,Nature Machine Intelligence,2021-03-01,Publisher online publication date,journal,"Descriptor vectors leave feature relationships underused, while task-specific tuning adds modeling cost.","Twenty-six pharmaceutical benchmarks and a new test set. Feature relationships are learned from 8,506,205 molecules. ADMET-related sets include CYP450 (16,896 compounds, five enzymes), liver microsomal clearance across human, mouse and rat (8,755 compounds), BBBP, ESOL, Tox21, SIDER and ClinTox (Supplementary Table S9).","MolMap embeds 1,456 descriptors and 16,204 fingerprint features into 2D grids. CNN variants use descriptors (D), fingerprints (F), or both (B), with default and optimized settings.","Feature maps provide useful property predictors. In Supplementary Table S5, tuning improves MolMapNet-B ESOL RMSE from 0.575 to 0.544 in one setting and from 0.543 to 0.512 in another; AttentiveFP scores 0.486 in the latter setting.","**Splits (Supplementary Table S9).** CYP450: assay IDs; LMC: random; BBBP: scaffold; ESOL/Tox21/SIDER/ClinTox: random.

| ESOL setting (Supplementary Table S5) | MolMapNet-B default | Optimized | Comparator RMSE |
| --- | --- | --- | --- |
| MoleculeNet/Chemprop setting | 0.575 | 0.544 | Chemprop 0.555 |
| AttentiveFP setting | 0.543 | 0.512 | AttentiveFP 0.486 |

**Later TDC submission.** MolMapNet-D achieves Caco2_Wang MAE 0.287 ± 0.005 on the leaderboard. This descriptor-only implementation is recorded separately from the dual-input models above.",Included as a foundation for combining chemical descriptors with deep learning. The feature-layout corpus and downstream supervised datasets serve different training roles.,https://www.nature.com/articles/s42256-021-00301-6,https://github.com/shenwanxiang/bidd-molmap,Author code and training examples are public; ChemBench v0 provides data and split indices.,2026-09-22,"Checked Crossref, publisher abstract, official Supplementary Tables S5/S9, author code and the TDC submission; visually inspected the S5 PDF page"
tdc-2021,TDC,Therapeutics Data Commons: Machine Learning Datasets and Tasks for Drug Discovery and Development,Organizes drug-discovery datasets and tasks into shared interfaces and benchmarks for consistent model comparison.,ADMET and pharmacokinetics,Data and benchmarks,Data benchmarks; Evaluation protocols,NeurIPS Datasets and Benchmarks,2021,Conference year,conference,"Fragmented datasets, task interfaces, splits and evaluation protocols make fair comparisons difficult.",A collection spanning drug discovery and development. These notes focus on its 22-task ADMET Benchmark Group; the conference paper covers a broader set of tasks.,"Defines tasks, data interfaces, standardized benchmarks and public leaderboards.","Provides data loading, task splits and evaluation tools for comparing drug-discovery models under common settings.","The ADMET Benchmark Group uses task-specific metrics and scaffold splits, with evaluation across multiple random seeds.","Toxicity tasks among the 22 endpoints include hERG, AMES, DILI and LD50. TDC also hosts other drug-discovery data; select tasks by benchmark group.",https://datasets-benchmarks-proceedings.neurips.cc/paper/2021/hash/3948ead63a9f2944218de038d8930b8f-Abstract-round2.html,,Code link to be added.,2026-09-19,"Bibliographic metadata, key sections of the paper and related official resources."
tox21-library-2020,Tox21 10K compound library,The Tox21 10K Compound Library: Collaborative Chemistry Advancing Toxicology,"Explains how the Tox21 library combines agency collections, high-throughput experiments and traceable chemical annotations to produce toxicity data.",ADMET and pharmacokinetics,Data and benchmarks,Toxicity; Data resources,Chemical Research in Toxicology,2020-11-03,Publisher online publication date,journal,"Agency collections cover different chemical spaces; integration requires consistent annotations, replicate identification and reproducibility assessment.","Approximately 10,000 chemical samples in the Tox21 10K library. At the stage described in the paper, around 8,500 chemicals had been screened in over 70 assays, generating more than 100 million data points.","Combines partner collections with concentration-response screening, replicates and analytical quality control. ToxPrint chemotypes and enrichment analyses compare chemical coverage and activity patterns.","Partner collections provide complementary coverage, revealing structure–activity patterns less apparent in individual libraries and clarifying the origins of Tox21 data.","Examines library composition, replicates, quality control, physicochemical properties and chemotype enrichment as properties of a data resource.","The original 10K library, the 2014 challenge and the 12-endpoint MoleculeNet subset are different releases; modeling records should identify the release and selection steps.",https://doi.org/10.1021/acs.chemrestox.0c00264,,Data-resource paper; partner agencies publish sample annotations and assay data.,2026-09-22,"Checked the publisher abstract and methods overview, Crossref online/issue dates and the official data download portal."
chemprop-dmpnn-2019,Chemprop / D-MPNN,Analyzing Learned Molecular Representations for Property Prediction,Learns molecular representations by passing messages along directed chemical bonds and evaluates property prediction on public and industrial data.,Methods and benchmarks,Foundational methods,Molecular graphs; D-MPNN; Industrial data,Journal of Chemical Information and Modeling,2019-07-30,Publisher online publication date,journal,Evidence was limited on whether learned representations outperform handcrafted descriptors and generalize to industrial data and new chemical space.,19 public and 16 private industrial datasets spanning multiple chemical endpoints.,"Directed-bond message passing (D-MPNN), molecular-level computed features and hyperparameter optimization, compared with fixed descriptors and earlier graph networks.","Matches or exceeds several baselines on the evaluated public/industrial tasks, demonstrating the practical value of learned representations. Performance remains below experimental reproducibility and varies by task and split.","Compares random, scaffold and available temporal splits to assess generalization to new chemical space and industrial data.","The 2019 paper establishes Chemprop's methodological foundation. Later software development makes version, feature and split control important for reproduction.",https://doi.org/10.1021/acs.jcim.9b00237,https://github.com/chemprop/chemprop,The authors provide a public code/project page.,2026-09-22,"Bibliographic metadata, relevant methods and results, and the listed official resources."
attentivefp-2019,AttentiveFP,Pushing the Boundaries of Molecular Representation for Drug Discovery with the Graph Attention Mechanism,Learns which atoms and neighborhoods to emphasize when aggregating molecular information for property prediction and structural attribution.,Methods and benchmarks,Foundational methods,Molecular graphs; Attention; Molecular representations,Journal of Medicinal Chemistry,2019,"Online publication year; exact-date fields conflict, with issue date listed separately",journal,Representations must capture local and longer-range structural relationships while making model-selected chemical features easier to inspect.,"Published Supplementary Tables 1/6 include BBBP 2,053; Tox21 8,014 (12 tasks); ToxCast 8,615 (617 tasks); SIDER 1,427 (27 tasks); ClinTox 1,491 (two tasks); ESOL 1,128; FreeSolv 643; and Lipophilicity 4,200 molecules, plus bioactivity and QM9 tasks.",Attention in molecular-graph message aggregation and graph-level readout produces learned fingerprints; attention visualization explores structural information.,"The published supplement reports BBBP AUROC 0.920±0.015, Tox21 AUROC 0.858±0.014 and ESOL RMSE 0.503±0.076. Atom-level and molecular-readout attention support structural visualization.","**Setup.** The author’s BBBP, Tox21 and ESOL notebooks randomly sample 10% for testing, then 1/9 of the remainder for validation, giving approximately 8:1:1 random splits. Supplementary Table 6 separates training, validation and test scores; the excerpts below use its Test column.

| Dataset | Molecules | Metric | Test |
| --- | --- | --- | --- |
| BBBP | 2,053 | AUROC ↑ | 0.920±0.015 |
| Tox21 | 8,014 | AUROC ↑ | 0.858±0.014 |
| SIDER | 1,427 | AUROC ↑ | 0.637±0.017 |
| ClinTox | 1,491 | AUROC ↑ | 0.940±0.018 |
| ESOL | 1,128 | RMSE ↓ | 0.503±0.076 |
| FreeSolv | 643 | RMSE ↓ | 0.736±0.037 |

These scores use the authors’ original data versions. Later TDC curation and scaffold evaluations are listed separately on the comparison page and are not pooled into the same ranking.","Attention visualizations show model emphasis rather than establish chemical causality. The ACS header/Crossref and publication history give different online dates, 2019-08-13 and 2019-08-27; the index retains the confirmed online year.",https://doi.org/10.1021/acs.jmedchem.9b00959,https://github.com/OpenDrugAI/AttentiveFP,Author code and accompanying data are accessible; rebuild the original Code Ocean environment following the reproduction instructions.,2026-09-22,"Checked published Supplementary Tables 1 and 6, author BBBP/Tox21/ESOL splitting code, and conflicting date fields"
moleculenet-2018,MoleculeNet,MoleculeNet: a benchmark for molecular machine learning,"Brings molecular datasets, splits, metrics and algorithms into a shared benchmark for property prediction.",Methods and benchmarks,Data and benchmarks,Datasets; Benchmarks; Evaluation,Chemical Science,2017-10-31,Publisher online publication date,journal,"Different choices of datasets, metrics and implementations make model improvements difficult to separate from evaluation effects.","Public quantum-chemical, physicochemical, biophysical and physiological datasets, including ESOL, FreeSolv, Lipophilicity, BBBP, Tox21, ClinTox, SIDER, BACE, HIV and QM collections, with task-specific metrics and splits.","DeepChem data loaders, molecular featurizers and learning algorithms support systematic comparisons of fixed descriptors and learned representations.","Learned representations work across multiple tasks, while small datasets and imbalance remain challenging. Physically informed features can matter more than algorithm choice in quantum/biophysical tasks.","Metrics and splits are task-specific; comparisons should record the subset, data version, cleaning steps and split.","Coverage includes ADMET, activity, physicochemical and quantum-chemical tasks. DeepChem loading workflows evolve. Publication metadata records the publisher's 2017-10-31 online date alongside the 2018 issue.",https://doi.org/10.1039/C7SC02664A,https://github.com/deepchem/deepchem,The authors provide a public code/project page.,2026-09-22,"Publisher metadata, abstract/benchmark description and official DeepChem resources; individual subsets have not been run."
